No.,Pokemon,Type 1,Type 2 ,HP,ATK,DEF,SPA,SPD,SPE,BST,ABILITY 1,ABILITY 2,HIDDEN ABILITY,can mega,Pokemon
184,Azumarill,Water,Fairy,100,50,80,60,80,50,420,Thick Fat,Huge Power,Sap Sipper,na,Azumarill
185,Sudowoodo,Rock,na,70,100,115,30,65,30,410,Sturdy,Rock Head,Rattled,na,Sudowoodo
186,Politoed,Water,na,90,75,75,90,100,70,500,Water Absorb,Damp,Drizzle,na,Politoed
187,Hoppip,Grass,Flying,35,35,40,35,55,50,250,Chlorophyll,Leaf Guard,Infiltrator,na,Hoppip
188,Skiploom,Grass,Flying,55,45,50,45,65,80,340,Chlorophyll,Leaf Guard,Infiltrator,na,Skiploom
189,Jumpluff,Grass,Flying,75,55,70,55,95,110,460,Chlorophyll,Leaf Guard,Infiltrator,na,Jumpluff
190,Aipom,Normal,na,55,70,55,40,55,85,360,Run Away,Pickup,Skill Link,na,Aipom
191,Sunkern,Grass,na,30,30,30,30,30,30,180,Chlorophyll,Solar Power,Early Bird,na,Sunkern
192,Sunflora,Grass,na,75,75,55,105,85,30,425,Chlorophyll,Solar Power,Early Bird,na,Sunflora
193,Yanma,Bug,Flying,65,65,45,75,45,95,390,Speed Boost,Compound Eyes,Frisk,na,Yanma
194,Wooper,Water,Ground,55,45,45,25,25,15,210,Damp,Water Absorb,Unaware,na,Wooper
194,Wooper-Paldea,Poison,Ground,55,45,45,25,25,15,210,Poison Point,Water Absorb,Unaware,na,Wooper-Paldea
195,Quagsire,Water,Ground,95,85,85,65,65,35,430,Damp,Water Absorb,Unaware,na,Quagsire
196,Espeon,Psychic,na,65,65,60,130,95,110,525,Synchronize,na,Magic Bounce,na,Espeon
197,Umbreon,Dark,na,95,65,110,60,130,65,525,Synchronize,na,Inner Focus,na,Umbreon
198,Murkrow,Dark,Flying,60,85,42,85,42,91,405,Insomnia,Super Luck,Prankster,na,Murkrow
199,Slowking,Water,Psychic,95,75,80,100,110,30,490,Oblivious,Own Tempo,Regenerator,na,Slowking
199,Slowking-Galar,Poison,Psychic,95,65,80,110,110,30,490,Curious Medicine,Own Tempo,Regenerator,na,Slowking-Galar
200,Misdreavus,Ghost,na,60,60,60,85,85,85,435,Levitate,na,na,na,Misdreavus
201,Unown,Psychic,na,48,72,48,72,48,48,336,Levitate,na,na,na,Unown
202,Wobbuffet,Psychic,na,190,33,58,33,58,33,405,Shadow Tag,na,Telepathy,na,Wobbuffet
203,Girafarig,Normal,Psychic,70,80,65,90,65,85,455,Inner Focus,Early Bird,Sap Sipper,na,Girafarig
204,Pineco,Bug,na,50,65,90,35,35,15,290,Sturdy,na,Overcoat,na,Pineco
205,Forretress,Bug,Steel,75,90,140,60,60,40,465,Sturdy,na,Overcoat,na,Forretress
206,Dunsparce,Normal,na,100,70,70,65,65,45,415,Serene Grace,Run Away,Rattled,na,Dunsparce
207,Gligar,Ground,Flying,65,75,105,35,65,85,430,Hyper Cutter,Sand Veil,Immunity,na,Gligar
208,Steelix,Steel,Ground,75,85,200,55,65,30,510,Rock Head,Sturdy,Sheer Force,TRUE,Steelix
208.1,Mega Steelix,Ground,Steel,75,125,230,55,95,30,610,Sand Force,na,na,na,Steelix_1
209,Snubbull,Fairy,na,60,80,50,40,40,30,300,Intimidate,Run Away,Rattled,na,Snubbull
210,Granbull,Fairy,na,90,120,75,60,60,45,450,Intimidate,Quick Feet,Rattled,na,Granbull
211,Qwilfish,Water,Poison,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate,na,Qwilfish
211,Qwilfish-Hisui,Dark,Poison,65,95,85,55,55,85,440,Poison Point,Swift Swim,Intimidate,na,Qwilfish-Hisui
212,Scizor,Bug,Steel,70,130,100,55,80,65,500,Swarm,Technician,Light Metal,TRUE,Scizor
212.1,Mega Scizor,Bug,Steel,70,150,140,65,100,75,600,Technician,na,na,na,Scizor_1
213,Shuckle,Bug,Rock,20,10,230,10,230,5,505,Sturdy,Gluttony,Contrary,na,Shuckle
214,Heracross,Bug,Fighting,80,125,75,40,95,85,500,Swarm,Guts,Moxie,TRUE,Heracross
214.1,Mega Heracross,Bug,Fighting,80,185,115,40,105,75,600,Skill Link,na,na,na,Heracross_1
215,Sneasel,Dark,Ice,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket,na,Sneasel
215,Sneasel-Hisui,Fighting,Poison,55,95,55,35,75,115,430,Inner Focus,Keen Eye,Pickpocket,na,Sneasel-Hisui
216,Teddiursa,Normal,na,60,80,50,50,50,40,330,Pickup,Quick Feet,Honey Gather,na,Teddiursa
217,Ursaring,Normal,na,90,130,75,75,75,55,500,Guts,Quick Feet,Unnerve,na,Ursaring
218,Slugma,Fire,na,40,40,40,70,40,20,250,Magma Armor,Flame Body,Weak Armor,na,Slugma
219,Magcargo,Fire,Rock,60,50,120,90,80,30,430,Magma Armor,Flame Body,Weak Armor,na,Magcargo
220,Swinub,Ice,Ground,50,50,40,30,30,50,250,Oblivious,Snow Cloak,Thick Fat,na,Swinub
221,Piloswine,Ice,Ground,100,100,80,60,60,50,450,Oblivious,Snow Cloak,Thick Fat,na,Piloswine
222,Corsola,Water,Rock,65,55,95,65,95,35,410,Hustle,Natural Cure,Regenerator,na,Corsola
222,Corsola-Galar,Ghost,na,60,55,100,65,100,30,410,Weak Armor,na,Cursed Body,na,Corsola-Galar
223,Remoraid,Water,na,35,65,35,65,35,65,300,Hustle,Sniper,Moody,na,Remoraid
224,Octillery,Water,na,75,105,75,105,75,45,480,Suction Cups,Sniper,Moody,na,Octillery
225,Delibird,Ice,Flying,45,55,45,65,45,75,330,Vital Spirit,Hustle,Insomnia,na,Delibird
226,Mantine,Water,Flying,85,40,70,80,140,70,485,Swift Swim,Water Absorb,Water Veil,na,Mantine
227,Skarmory,Steel,Flying,65,80,140,40,70,70,465,Keen Eye,Sturdy,Weak Armor,na,Skarmory
228,Houndour,Dark,Fire,45,60,30,80,50,65,330,Early Bird,Flash Fire,Unnerve,na,Houndour
229,Houndoom,Dark,Fire,75,90,50,110,80,95,500,Early Bird,Flash Fire,Unnerve,TRUE,Houndoom
229.1,Mega Houndoom,Dark,Fire,75,90,90,140,90,115,600,Solar Power,na,na,na,Houndoom_1
230,Kingdra,Water,Dragon,75,95,95,95,95,85,540,Swift Swim,Sniper,Damp,na,Kingdra
231,Phanpy,Ground,na,90,60,60,40,40,40,330,Pickup,na,Sand Veil,na,Phanpy
232,Donphan,Ground,na,90,120,120,60,60,50,500,Sturdy,na,Sand Veil,na,Donphan
233,Porygon2,Normal,na,85,80,90,105,95,60,515,Trace,Download,Analytic,na,Porygon2
234,Stantler,Normal,na,73,95,62,85,65,85,465,Intimidate,Frisk,Sap Sipper,na,Stantler
235,Smeargle,Normal,na,55,20,35,20,45,75,250,Own Tempo,Technician,Moody,na,Smeargle
236,Tyrogue,Fighting,na,35,35,35,35,35,35,210,Guts,Steadfast,Vital Spirit,na,Tyrogue
237,Hitmontop,Fighting,na,50,95,95,35,110,70,455,Intimidate,Technician,Steadfast,na,Hitmontop
238,Smoochum,Ice,Psychic,45,30,15,85,65,65,305,Oblivious,Forewarn,Hydration,na,Smoochum
239,Elekid,Electric,na,45,63,37,65,55,95,360,Static,na,Vital Spirit,na,Elekid
240,Magby,Fire,na,45,75,37,70,55,83,365,Flame Body,na,Vital Spirit,na,Magby
241,Miltank,Normal,na,95,80,105,40,70,100,490,Thick Fat,Scrappy,Sap Sipper,na,Miltank
242,Blissey,Normal,na,255,10,10,75,135,55,540,Natural Cure,Serene Grace,Healer,na,Blissey
243,Raikou,Electric,na,90,85,75,115,100,115,580,Pressure,na,Inner Focus,na,Raikou
244,Entei,Fire,na,115,115,85,90,75,100,580,Pressure,na,Inner Focus,na,Entei
245,Suicune,Water,na,100,75,115,90,115,85,580,Pressure,na,Inner Focus,na,Suicune
246,Larvitar,Rock,Ground,50,64,50,45,50,41,300,Guts,na,Sand Veil,na,Larvitar
247,Pupitar,Rock,Ground,70,84,70,65,70,51,410,Shed Skin,na,na,na,Pupitar
248,Tyranitar,Rock,Dark,100,134,110,95,100,61,600,Sand Stream,na,Unnerve,TRUE,Tyranitar
248.1,Mega Tyranitar,Rock,Dark,100,164,150,95,120,71,700,Sand Stream,na,na,na,Tyranitar_1
249,Lugia,Psychic,Flying,106,90,130,90,154,110,680,Pressure,na,Multiscale,na,Lugia
250,Ho-Oh,Fire,Flying,106,130,90,110,154,90,680,Pressure,na,Regenerator,na,Ho-Oh
251,Celebi,Grass,Psychic,100,100,100,100,100,100,600,Natural Cure,na,na,na,Celebi
252,Treecko,Grass,na,40,45,35,65,55,70,310,Overgrow,na,Unburden,na,Treecko
253,Grovyle,Grass,na,50,65,45,85,65,95,405,Overgrow,na,Unburden,na,Grovyle
254,Sceptile,Grass,na,70,85,65,105,85,120,530,Overgrow,na,Unburden,TRUE,Sceptile
254.1,Mega Sceptile,Grass,Dragon,70,110,75,145,85,145,630,Lightning Rod,na,na,na,Sceptile_1
255,Torchic,Fire,na,45,60,40,70,50,45,310,Blaze,na,Speed Boost,na,Torchic
256,Combusken,Fire,Fighting,60,85,60,85,60,55,405,Blaze,na,Speed Boost,na,Combusken
257,Blaziken,Fire,Fighting,80,120,70,110,70,80,530,Blaze,na,Speed Boost,TRUE,Blaziken
257.1,Mega Blaziken,Fire,Fighting,80,160,80,130,80,100,630,Speed Boost,na,na,na,Blaziken_1
258,Mudkip,Water,na,50,70,50,50,50,40,310,Torrent,na,Damp,na,Mudkip
259,Marshtomp,Water,Ground,70,85,70,60,70,50,405,Torrent,na,Damp,na,Marshtomp
260,Swampert,Water,Ground,100,110,90,85,90,60,535,Torrent,na,Damp,TRUE,Swampert
260.1,Mega Swampert,Water,Ground,100,150,110,95,110,70,635,Swift Swim,na,na,na,Swampert_1
261,Poochyena,Dark,na,35,55,35,30,30,35,220,Run Away,Quick Feet,Rattled,na,Poochyena
262,Mightyena,Dark,na,70,90,70,60,60,70,420,Intimidate,Quick Feet,Moxie,na,Mightyena
263,Zigzagoon,Normal,na,38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,na,Zigzagoon
263,Zigzagoon-Galar,Normal,Dark,38,30,41,30,41,60,240,Pickup,Gluttony,Quick Feet,na,Zigzagoon-Galar
264,Linoone,Normal,na,78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,na,Linoone
264,Linoone-Galar,Normal,Dark,78,70,61,50,61,100,420,Pickup,Gluttony,Quick Feet,na,Linoone-Galar
265,Wurmple,Bug,na,45,45,35,20,30,20,195,Shield Dust,na,Run Away,na,Wurmple
266,Silcoon,Bug,na,50,35,55,25,25,15,205,Shed Skin,na,na,na,Silcoon
267,Beautifly,Bug,Flying,60,70,50,100,50,65,395,Swarm,na,Rivalry,na,Beautifly
268,Cascoon,Bug,na,50,35,55,25,25,15,205,Shed Skin,na,na,na,Cascoon
269,Dustox,Bug,Poison,60,50,70,50,90,65,385,Shield Dust,na,Compound Eyes,na,Dustox
270,Lotad,Water,Grass,40,30,30,40,50,30,220,Swift Swim,Rain Dish,Own Tempo,na,Lotad
271,Lombre,Water,Grass,60,50,50,60,70,50,340,Swift Swim,Rain Dish,Own Tempo,na,Lombre
272,Ludicolo,Water,Grass,80,70,70,90,100,70,480,Swift Swim,Rain Dish,Own Tempo,na,Ludicolo
273,Seedot,Grass,na,40,40,50,30,30,30,220,Chlorophyll,Early Bird,Pickpocket,na,Seedot
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60,340,Chlorophyll,Early Bird,Pickpocket,na,Nuzleaf
275,Shiftry,Grass,Dark,90,100,60,90,60,80,480,Chlorophyll,Early Bird,Pickpocket,na,Shiftry
276,Taillow,Normal,Flying,40,55,30,30,30,85,270,Guts,na,Scrappy,na,Taillow
277,Swellow,Normal,Flying,60,85,60,75,50,125,455,Guts,na,Scrappy,na,Swellow
278,Wingull,Water,Flying,40,30,30,55,30,85,270,Keen Eye,Hydration,Rain Dish,na,Wingull
279,Pelipper,Water,Flying,60,50,100,95,70,65,440,Keen Eye,Drizzle,Rain Dish,na,Pelipper
280,Ralts,Psychic,Fairy,28,25,25,45,35,40,198,Synchronize,Trace,Telepathy,na,Ralts
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50,278,Synchronize,Trace,Telepathy,na,Kirlia
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80,518,Synchronize,Trace,Telepathy,TRUE,Gardevoir
282.1,Mega Gardevoir,Psychic,Fairy,68,85,65,165,135,100,618,Pixilate,na,na,na,Gardevoir_1
283,Surskit,Bug,Water,40,30,32,50,52,65,269,Swift Swim,na,Rain Dish,na,Surskit
284,Masquerain,Bug,Flying,70,60,62,100,82,80,454,Intimidate,na,Unnerve,na,Masquerain
285,Shroomish,Grass,na,60,40,60,40,60,35,295,Effect Spore,Poison Heal,Quick Feet,na,Shroomish
286,Breloom,Grass,Fighting,60,130,80,60,60,70,460,Effect Spore,Poison Heal,Technician,na,Breloom
287,Slakoth,Normal,na,60,60,60,35,35,30,280,Truant,na,na,na,Slakoth
288,Vigoroth,Normal,na,80,80,80,55,55,90,440,Vital Spirit,na,na,na,Vigoroth
289,Slaking,Normal,na,150,160,100,95,65,100,670,Truant,na,na,na,Slaking
290,Nincada,Bug,na,31,45,90,30,30,40,266,Compound Eyes,na,Run Away,na,Nincada
291,Ninjask,Bug,Flying,61,90,45,50,50,160,456,Speed Boost,na,Infiltrator,na,Ninjask
292,Shedinja,Bug,Ghost,1,90,45,30,30,40,236,Wonder Guard,na,na,na,Shedinja
293,Whismur,Normal,na,64,51,23,51,23,28,240,Soundproof,na,Rattled,na,Whismur
294,Loudred,Normal,na,84,71,43,71,43,48,360,Soundproof,na,Scrappy,na,Loudred
295,Exploud,Normal,na,104,91,63,91,73,68,490,Soundproof,na,Scrappy,na,Exploud
296,Makuhita,Fighting,na,72,60,30,20,30,25,237,Thick Fat,Guts,Sheer Force,na,Makuhita
297,Hariyama,Fighting,na,144,120,60,40,60,50,474,Thick Fat,Guts,Sheer Force,na,Hariyama
298,Azurill,Normal,Fairy,50,20,40,20,40,20,190,Thick Fat,Huge Power,Sap Sipper,na,Azurill
299,Nosepass,Rock,na,30,45,135,45,90,30,375,Sturdy,Magnet Pull,Sand Force,na,Nosepass
300,Skitty,Normal,na,50,45,45,35,35,50,260,Cute Charm,Normalize,Wonder Skin,na,Skitty
301,Delcatty,Normal,na,70,65,65,55,55,90,400,Cute Charm,Normalize,Wonder Skin,na,Delcatty
302,Sableye,Dark,Ghost,50,75,75,65,65,50,380,Keen Eye,Stall,Prankster,TRUE,Sableye
302.1,Mega Sableye,Dark,Ghost,50,85,125,85,115,20,480,Magic Bounce,na,na,na,Sableye_1
303,Mawile,Steel,Fairy,50,85,85,55,55,50,380,Hyper Cutter,Intimidate,Sheer Force,TRUE,Mawile
303.1,Mega Mawile,Steel,Fairy,50,105,125,55,95,50,480,Huge Power,na,na,na,Mawile_1
304,Aron,Steel,Rock,50,70,100,40,40,30,330,Sturdy,Rock Head,Heavy Metal,na,Aron
305,Lairon,Steel,Rock,60,90,140,50,50,40,430,Sturdy,Rock Head,Heavy Metal,na,Lairon
306,Aggron,Steel,Rock,70,110,180,60,60,50,530,Sturdy,Rock Head,Heavy Metal,TRUE,Aggron
306.1,Mega Aggron,Steel,na,70,140,230,60,80,50,630,Filter,na,na,na,Aggron_1
307,Meditite,Fighting,Psychic,30,40,55,40,55,60,280,Pure Power,na,Telepathy,na,Meditite
308,Medicham,Fighting,Psychic,60,60,75,60,75,80,410,Pure Power,na,Telepathy,TRUE,Medicham
308.1,Mega Medicham,Fighting,Psychic,60,100,85,80,85,100,510,Pure Power,na,na,na,Medicham_1
309,Electrike,Electric,na,40,45,40,65,40,65,295,Static,Lightning Rod,Minus,na,Electrike
310,Manectric,Electric,na,70,75,60,105,60,105,475,Static,Lightning Rod,Minus,TRUE,Manectric
310.1,Mega Manectric,Electric,na,70,75,80,135,80,135,575,Intimidate,na,na,na,Manectric_1
311,Plusle,Electric,na,60,50,40,85,75,95,405,Plus,na,Lightning Rod,na,Plusle
312,Minun,Electric,na,60,40,50,75,85,95,405,Minus,na,Volt Absorb,na,Minun
313,Volbeat,Bug,na,65,73,75,47,85,85,430,Illuminate,Swarm,Prankster,na,Volbeat
314,Illumise,Bug,na,65,47,75,73,85,85,430,Oblivious,Tinted Lens,Prankster,na,Illumise
315,Roselia,Grass,Poison,50,60,45,100,80,65,400,Natural Cure,Poison Point,Leaf Guard,na,Roselia
316,Gulpin,Poison,na,70,43,53,43,53,40,302,Liquid Ooze,Sticky Hold,Gluttony,na,Gulpin
317,Swalot,Poison,na,100,73,83,73,83,55,467,Liquid Ooze,Sticky Hold,Gluttony,na,Swalot
318,Carvanha,Water,Dark,45,90,20,65,20,65,305,Rough Skin,na,Speed Boost,na,Carvanha
319,Sharpedo,Water,Dark,70,120,40,95,40,95,460,Rough Skin,na,Speed Boost,TRUE,Sharpedo
319.1,Mega Sharpedo,Water,Dark,70,140,70,110,65,105,560,Strong Jaw,na,na,na,Sharpedo_1
320,Wailmer,Water,na,130,70,35,70,35,60,400,Water Veil,Oblivious,Pressure,na,Wailmer
321,Wailord,Water,na,170,90,45,90,45,60,500,Water Veil,Oblivious,Pressure,na,Wailord
322,Numel,Fire,Ground,60,60,40,65,45,35,305,Oblivious,Simple,Own Tempo,na,Numel
323,Camerupt,Fire,Ground,70,100,70,105,75,40,460,Magma Armor,Solid Rock,Anger Point,TRUE,Camerupt
323.1,Mega Camerupt,Fire,Ground,70,120,100,145,105,20,560,Sheer Force,na,na,na,Camerupt_1
324,Torkoal,Fire,na,70,85,140,85,70,20,470,White Smoke,Drought,Shell Armor,na,Torkoal
325,Spoink,Psychic,na,60,25,35,70,80,60,330,Thick Fat,Own Tempo,Gluttony,na,Spoink
326,Grumpig,Psychic,na,80,45,65,90,110,80,470,Thick Fat,Own Tempo,Gluttony,na,Grumpig
327,Spinda,Normal,na,60,60,60,60,60,60,360,Own Tempo,Tangled Feet,Contrary,na,Spinda
328,Trapinch,Ground,na,45,100,45,45,45,10,290,Hyper Cutter,Arena Trap,Sheer Force,na,Trapinch
329,Vibrava,Ground,Dragon,50,70,50,50,50,70,340,Levitate,na,na,na,Vibrava
330,Flygon,Ground,Dragon,80,100,80,80,80,100,520,Levitate,na,na,na,Flygon
331,Cacnea,Grass,na,50,85,40,85,40,35,335,Sand Veil,na,Water Absorb,na,Cacnea
332,Cacturne,Grass,Dark,70,115,60,115,60,55,475,Sand Veil,na,Water Absorb,na,Cacturne
333,Swablu,Normal,Flying,45,40,60,40,75,50,310,Natural Cure,na,Cloud Nine,na,Swablu
334,Altaria,Dragon,Flying,75,70,90,70,105,80,490,Natural Cure,na,Cloud Nine,TRUE,Altaria
334.1,Mega Altaria,Dragon,Fairy,75,110,110,110,105,80,590,Pixilate,na,na,na,Altaria_1
335,Zangoose,Normal,na,73,115,60,60,60,90,458,Immunity,na,Toxic Boost,na,Zangoose
336,Seviper,Poison,na,73,100,60,100,60,65,458,Shed Skin,na,Infiltrator,na,Seviper
337,Lunatone,Rock,Psychic,90,55,65,95,85,70,460,Levitate,na,na,na,Lunatone
338,Solrock,Rock,Psychic,90,95,85,55,65,70,460,Levitate,na,na,na,Solrock
339,Barboach,Water,Ground,50,48,43,46,41,60,288,Oblivious,Anticipation,Hydration,na,Barboach
340,Whiscash,Water,Ground,110,78,73,76,71,60,468,Oblivious,Anticipation,Hydration,na,Whiscash
341,Corphish,Water,na,43,80,65,50,35,35,308,Hyper Cutter,Shell Armor,Adaptability,na,Corphish
342,Crawdaunt,Water,Dark,63,120,85,90,55,55,468,Hyper Cutter,Shell Armor,Adaptability,na,Crawdaunt
343,Baltoy,Ground,Psychic,40,40,55,40,70,55,300,Levitate,na,na,na,Baltoy
344,Claydol,Ground,Psychic,60,70,105,70,120,75,500,Levitate,na,na,na,Claydol
345,Lileep,Rock,Grass,66,41,77,61,87,23,355,Suction Cups,na,Storm Drain,na,Lileep
346,Cradily,Rock,Grass,86,81,97,81,107,43,495,Suction Cups,na,Storm Drain,na,Cradily
347,Anorith,Rock,Bug,45,95,50,40,50,75,355,Battle Armor,na,Swift Swim,na,Anorith
348,Armaldo,Rock,Bug,75,125,100,70,80,45,495,Battle Armor,na,Swift Swim,na,Armaldo
349,Feebas,Water,na,20,15,20,10,55,80,200,Swift Swim,Oblivious,Adaptability,na,Feebas
350,Milotic,Water,na,95,60,79,100,125,81,540,Marvel Scale,Competitive,Cute Charm,na,Milotic
351,Castform,Normal,na,70,70,70,70,70,70,420,Forecast,na,na,na,Castform
352,Kecleon,Normal,na,60,90,70,60,120,40,440,Color Change,na,Protean,na,Kecleon
353,Shuppet,Ghost,na,44,75,35,63,33,45,295,Insomnia,Frisk,Cursed Body,na,Shuppet
354,Banette,Ghost,na,64,115,65,83,63,65,455,Insomnia,Frisk,Cursed Body,TRUE,Banette
354.1,Mega Banette,Ghost,na,64,165,75,93,83,75,555,Prankster,na,na,na,Banette_1
355,Duskull,Ghost,na,20,40,90,30,90,25,295,Levitate,na,Frisk,na,Duskull
356,Dusclops,Ghost,na,40,70,130,60,130,25,455,Pressure,na,Frisk,na,Dusclops
357,Tropius,Grass,Flying,99,68,83,72,87,51,460,Chlorophyll,Solar Power,Harvest,na,Tropius
358,Chimecho,Psychic,na,75,50,80,95,90,65,455,Levitate,na,na,na,Chimecho
359,Absol,Dark,na,65,130,60,75,60,75,465,Pressure,Super Luck,Justified,TRUE,Absol
359.1,Mega Absol,Dark,na,65,150,60,115,60,115,565,Magic Bounce,na,na,na,Absol_1
360,Wynaut,Psychic,na,95,23,48,23,48,23,260,Shadow Tag,na,Telepathy,na,Wynaut
361,Snorunt,Ice,na,50,50,50,50,50,50,300,Inner Focus,Ice Body,Moody,na,Snorunt
362,Glalie,Ice,na,80,80,80,80,80,80,480,Inner Focus,Ice Body,Moody,TRUE,Glalie
362.1,Mega Glalie,Ice,na,80,120,80,120,80,100,580,Refrigerate,na,na,na,Glalie_1
363,Spheal,Ice,Water,70,40,50,55,50,25,290,Thick Fat,Ice Body,Oblivious,na,Spheal
364,Sealeo,Ice,Water,90,60,70,75,70,45,410,Thick Fat,Ice Body,Oblivious,na,Sealeo
365,Walrein,Ice,Water,110,80,90,95,90,65,530,Thick Fat,Ice Body,Oblivious,na,Walrein
366,Clamperl,Water,na,35,64,85,74,55,32,345,Shell Armor,na,Rattled,na,Clamperl
367,Huntail,Water,na,55,104,105,94,75,52,485,Swift Swim,na,Water Veil,na,Huntail
368,Gorebyss,Water,na,55,84,105,114,75,52,485,Swift Swim,na,Hydration,na,Gorebyss
369,Relicanth,Water,Rock,100,90,130,45,65,55,485,Swift Swim,Rock Head,Sturdy,na,Relicanth
370,Luvdisc,Water,na,43,30,55,40,65,97,330,Swift Swim,na,Hydration,na,Luvdisc
371,Bagon,Dragon,na,45,75,60,40,30,50,300,Rock Head,na,Sheer Force,na,Bagon
372,Shelgon,Dragon,na,65,95,100,60,50,50,420,Rock Head,na,Overcoat,na,Shelgon
373,Salamence,Dragon,Flying,95,135,80,110,80,100,600,Intimidate,na,Moxie,TRUE,Salamence
373.1,Mega Salamence,Dragon,Flying,95,145,130,120,90,120,700,Aerilate,na,na,na,Salamence_1
374,Beldum,Steel,Psychic,40,55,80,35,60,30,300,Clear Body,na,Light Metal,na,Beldum
375,Metang,Steel,Psychic,60,75,100,55,80,50,420,Clear Body,na,Light Metal,na,Metang
376,Metagross,Steel,Psychic,80,135,130,95,90,70,600,Clear Body,na,Light Metal,TRUE,Metagross
376.1,Mega Metagross,Steel,Psychic,80,145,150,105,110,110,700,Tough Claws,na,na,na,Metagross_1
377,Regirock,Rock,na,80,100,200,50,100,50,580,Clear Body,na,Sturdy,na,Regirock
378,Regice,Ice,na,80,50,100,100,200,50,580,Clear Body,na,Ice Body,na,Regice
379,Registeel,Steel,na,80,75,150,75,150,50,580,Clear Body,na,Light Metal,na,Registeel
380,Latias,Dragon,Psychic,80,80,90,110,130,110,600,Levitate,na,na,TRUE,Latias
380.1,Mega Latias,Dragon,Psychic,80,100,120,140,150,110,700,Levitate,na,na,na,Latias_1
381,Latios,Dragon,Psychic,80,90,80,130,110,110,600,Levitate,na,na,TRUE,Latios
381.1,Mega Latios,Dragon,Psychic,80,130,100,160,120,110,700,Levitate,na,na,na,Latios_1
382,Kyogre,Water,na,100,100,90,150,140,90,670,Drizzle,na,na,na,Kyogre
382,Primal Kyogre,Water,na,100,150,90,180,160,90,770,Primordial Sea,na,na,na,Primal Kyogre
383,Groudon,Ground,na,100,150,140,100,90,90,670,Drought,na,na,na,Groudon
383,Primal Groudon,Ground,Fire,100,180,160,150,90,90,770,Desolate Land,na,na,na,Primal Groudon
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95,680,Air Lock,na,na,TRUE,Rayquaza
384.1,Mega Rayquaza,Dragon,Flying,105,180,100,180,100,115,780,Delta Stream,na,na,na,Rayquaza_1
385,Jirachi,Steel,Psychic,100,100,100,100,100,100,600,Serene Grace,na,na,na,Jirachi
386,Deoxys,Psychic,na,50,150,50,150,50,150,600,Pressure,na,na,na,Deoxys
386,Deoxys-Attack,Psychic,na,50,180,20,180,20,150,600,Pressure,na,na,na,Deoxys-Attack
386,Deoxys-Defense,Psychic,na,50,70,160,70,160,90,600,Pressure,na,na,na,Deoxys-Defense
386,Deoxys-Speed,Psychic,na,50,95,90,95,90,180,600,Pressure,na,na,na,Deoxys-Speed
387,Turtwig,Grass,na,55,68,64,45,55,31,318,Overgrow,na,Shell Armor,na,Turtwig
388,Grotle,Grass,na,75,89,85,55,65,36,405,Overgrow,na,Shell Armor,na,Grotle
389,Torterra,Grass,Ground,95,109,105,75,85,56,525,Overgrow,na,Shell Armor,na,Torterra
390,Chimchar,Fire,na,44,58,44,58,44,61,309,Blaze,na,Iron Fist,na,Chimchar
391,Monferno,Fire,Fighting,64,78,52,78,52,81,405,Blaze,na,Iron Fist,na,Monferno
392,Infernape,Fire,Fighting,76,104,71,104,71,108,534,Blaze,na,Iron Fist,na,Infernape
393,Piplup,Water,na,53,51,53,61,56,40,314,Torrent,na,Defiant,na,Piplup
394,Prinplup,Water,na,64,66,68,81,76,50,405,Torrent,na,Defiant,na,Prinplup
395,Empoleon,Water,Steel,84,86,88,111,101,60,530,Torrent,na,Defiant,na,Empoleon
396,Starly,Normal,Flying,40,55,30,30,30,60,245,Keen Eye,na,Reckless,na,Starly
397,Staravia,Normal,Flying,55,75,50,40,40,80,340,Intimidate,na,Reckless,na,Staravia
398,Staraptor,Normal,Flying,85,120,70,50,60,100,485,Intimidate,na,Reckless,na,Staraptor
399,Bidoof,Normal,na,59,45,40,35,40,31,250,Simple,Unaware,Moody,na,Bidoof
400,Bibarel,Normal,Water,79,85,60,55,60,71,410,Simple,Unaware,Moody,na,Bibarel
401,Kricketot,Bug,na,37,25,41,25,41,25,194,Shed Skin,na,Run Away,na,Kricketot
402,Kricketune,Bug,na,77,85,51,55,51,65,384,Swarm,na,Technician,na,Kricketune
403,Shinx,Electric,na,45,65,34,40,34,45,263,Rivalry,Intimidate,Guts,na,Shinx
404,Luxio,Electric,na,60,85,49,60,49,60,363,Rivalry,Intimidate,Guts,na,Luxio
405,Luxray,Electric,na,80,120,79,95,79,70,523,Rivalry,Intimidate,Guts,na,Luxray
406,Budew,Grass,Poison,40,30,35,50,70,55,280,Natural Cure,Poison Point,Leaf Guard,na,Budew
407,Roserade,Grass,Poison,60,70,65,125,105,90,515,Natural Cure,Poison Point,Technician,na,Roserade
408,Cranidos,Rock,na,67,125,40,30,30,58,350,Mold Breaker,na,Sheer Force,na,Cranidos
409,Rampardos,Rock,na,97,165,60,65,50,58,495,Mold Breaker,na,Sheer Force,na,Rampardos
